City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Kalianget,ID,77.41,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
128,Yanam,IN,72.25,scattered clouds,16.7333,82.2167,The Regency Hotel
130,Sumenep,ID,76.53,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
131,Florestopolis,BR,81.01,overcast clouds,-22.8633,-51.3872,Rancho Caíque
132,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
135,Asbe Teferi,ET,61.12,broken clouds,9.0833,40.8667,Megenagna hotel
138,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
140,San Isidro,PE,76.59,broken clouds,-12.1167,-77.05,Soul Mate-Inn
147,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
151,Shwebo,MM,63.79,clear sky,22.5667,95.7,MOON SHINE Guest House
153,Lubumbashi,CD,64.49,light rain,-11.6609,27.4794,Glo Flats
156,Pisco,PE,77.05,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
157,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
159,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
161,Mattru,SL,79.83,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
162,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
163,Panaba,MX,78.35,scattered clouds,21.2833,-88.2667,Hotel California
165,Rawson,AR,89.76,clear sky,-43.3002,-65.1023,Hosteria Sampedro
172,Fort Wellington,GY,80.35,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
173,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
174,Ancud,CL,78.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
175,Namatanai,PG,80.6,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
177,Arlit,NE,69.51,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
179,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
181,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
185,Sao Domingos,BR,73.51,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
187,Banda Aceh,ID,77.95,broken clouds,5.5577,95.3222,Sulthan Hotel International
189,Rio Grande,BR,93.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
190,Ocala,US,73.33,scattered clouds,29.1872,-82.1401,Golden Palms Inn & Suites
191,Ulladulla,AU,67.77,light rain,-35.35,150.4667,Sandpiper Motel
192,Vallenar,CL,85.51,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
193,Labuhan,ID,76.35,light rain,-6.8844,112.2051,DoubleFAG
194,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
197,Victoria,HK,63.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
203,Kulhudhuffushi,MV,81.25,scattered clouds,6.6221,73.07,Haajy Guest House 1
