City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Marawi,7.9986,124.2928,74.64,77,62,5.7,PH,2022-01-09 05:36:23
59,Shatsk,54.0258,41.7119,9.81,94,89,9.86,RU,2022-01-09 05:36:24
60,Sinnamary,5.3833,-52.95,74.39,88,62,8.68,GF,2022-01-09 05:36:24
61,Acarau,-2.8856,-40.12,77.07,83,39,9.01,BR,2022-01-09 05:30:31
62,San Rafael,-34.6177,-68.3301,81.09,31,16,12.03,AR,2022-01-09 05:36:24
63,Santa Vitoria Do Palmar,-33.5189,-53.3681,67.46,72,0,10.33,BR,2022-01-09 05:36:25
64,Aksarka,66.5606,67.7975,-17.79,100,100,2.68,RU,2022-01-09 05:36:25
65,Camana,-16.6228,-72.7111,71.4,84,85,1.57,PE,2022-01-09 05:36:25
66,Meiganga,6.5167,14.3,68.22,36,66,4.36,CM,2022-01-09 05:36:26
67,Scarborough,54.2797,-0.4044,39.02,88,21,1.01,GB,2022-01-09 05:34:16
68,Ostrovnoy,68.0531,39.5131,12.15,96,93,16.13,RU,2022-01-09 05:36:26
69,Vestmannaeyjar,63.4427,-20.2734,38.37,67,18,9.51,IS,2022-01-09 05:36:26
70,Stephenville,32.2207,-98.2023,57.99,94,0,8.05,US,2022-01-09 05:36:27
71,Longyearbyen,78.2186,15.6401,13.84,85,75,6.91,SJ,2022-01-09 05:36:27
72,Hithadhoo,-0.6,73.0833,81.95,72,79,4.54,MV,2022-01-09 05:30:33
73,Taoudenni,22.6783,-3.9836,50.52,28,0,13.15,ML,2022-01-09 05:36:27
74,Zaltan,32.947,11.8665,52.68,63,72,20.87,LY,2022-01-09 05:36:28
75,Walvis Bay,-22.9575,14.5053,64.09,82,100,3.44,NA,2022-01-09 05:36:28
76,Torbay,47.6666,-52.7314,18.57,78,75,10.0,CA,2022-01-09 05:30:42
77,Yar-Sale,66.8333,70.8333,-11.42,100,98,3.89,RU,2022-01-09 05:36:28
78,Calabozo,8.9242,-67.4293,74.23,68,37,9.89,VE,2022-01-09 05:36:29
79,Isiro,2.7739,27.616,74.19,62,100,1.45,CD,2022-01-09 05:36:29
80,Guasdualito,7.2424,-70.7324,77.0,73,26,1.14,VE,2022-01-09 05:36:30
81,Albany,42.6001,-73.9662,27.3,59,53,7.25,US,2022-01-09 05:30:02
82,Sao Joao Da Barra,-21.6403,-41.0511,71.17,95,100,10.11,BR,2022-01-09 05:36:30
83,Coihaique,-45.5752,-72.0662,55.35,62,0,3.44,CL,2022-01-09 05:36:31
84,Meulaboh,4.1363,96.1285,81.52,72,100,4.45,ID,2022-01-09 05:36:31
85,Tucuman,-26.8241,-65.2226,73.4,64,0,10.36,AR,2022-01-09 05:36:31
86,Quatre Cocos,-20.2078,57.7625,83.08,72,3,6.82,MU,2022-01-09 05:36:32
87,Bagra,23.7333,86.3167,78.69,32,0,2.51,IN,2022-01-09 05:36:32
88,Itarema,-2.9248,-39.9167,76.95,82,32,8.46,BR,2022-01-09 05:36:33
89,Arrifes,37.7667,-25.7,57.24,62,75,6.91,PT,2022-01-09 05:36:33
90,Kontagora,10.3999,5.4695,70.11,28,2,5.46,NG,2022-01-09 05:36:33
91,Mogadishu,2.0371,45.3438,80.47,78,40,16.11,SO,2022-01-09 05:37:34
92,Laurinburg,34.7741,-79.4628,42.42,53,8,3.96,US,2022-01-09 05:35:08
93,Nantucket,41.2835,-70.0995,32.02,73,0,10.36,US,2022-01-09 05:30:37
