City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
543,San Cristobal,VE,7.7669,-72.225,75.38,42,72,1.95
544,Toktogul,KG,41.8708,72.9402,25.54,61,98,3.47
545,Eenhana,NA,-17.4667,16.3333,81.43,18,100,6.26
546,Windhoek,NA,-22.5594,17.0832,74.46,16,98,15.3
547,Mwanza,TZ,-2.5167,32.9,73.83,64,97,5.66
548,Pisz,PL,53.6274,21.8125,28.65,92,99,8.37
549,Senno,RU,59.5336,33.9167,8.56,84,87,8.25
550,Belyy Yar,RU,53.6039,91.3903,6.69,79,100,2.24
551,La Primavera,CO,5.4906,-70.4092,94.68,29,38,8.7
552,Morondava,MG,-20.2833,44.2833,81.77,79,100,8.3
553,Dalvik,IS,65.9702,-18.5286,31.93,77,100,36.75
554,Cururupu,BR,-1.8283,-44.8683,85.06,55,25,6.58
555,Ahmadpur Sial,PK,30.6754,71.7483,49.87,42,0,3.53
